date,1487179895386
row_1_box_1,yellow
row_1_box_2,blue
row_1_box_3,undefined
row_1_box_4,yellow
row_2_box_1,blue
row_2_box_2,yellow
row_2_box_3,blue
row_2_box_4,undefined
row_3_box_1,red
row_3_box_2,red
row_3_box_3,yellow
row_3_box_4,red
row_4_box_1,yellow
row_4_box_2,undefined
row_4_box_3,blue
row_4_box_4,undefined
date,1487180244892
row_1_box_1,undefined
row_1_box_2,undefined
row_1_box_3,blue
row_1_box_4,blue
row_2_box_1,blue
row_2_box_2,blue
row_2_box_3,undefined
row_2_box_4,undefined
row_3_box_1,yellow
row_3_box_2,yellow
row_3_box_3,undefined
row_3_box_4,undefined
row_4_box_1,undefined
row_4_box_2,undefined
row_4_box_3,yellow
row_4_box_4,yellow
date,1487180455920
row_1_box_1,red
row_1_box_2,red
row_1_box_3,red
row_1_box_4,red
row_2_box_1,yellow
row_2_box_2,yellow
row_2_box_3,yellow
row_2_box_4,yellow
row_3_box_1,blue
row_3_box_2,blue
row_3_box_3,blue
row_3_box_4,blue
row_4_box_1,undefined
row_4_box_2,undefined
row_4_box_3,undefined
row_4_box_4,undefined
date,1487180543210
row_1_box_1,yellow
row_1_box_2,undefined
row_1_box_3,red
row_1_box_4,blue
row_2_box_1,undefined
row_2_box_2,red
row_2_box_3,blue
row_2_box_4,yellow
row_3_box_1,red
row_3_box_2,blue
row_3_box_3,yellow
row_3_box_4,undefined
row_4_box_1,blue
row_4_box_2,yellow
row_4_box_3,undefined
row_4_box_4,red
date,1487180626764
row_1_box_1,yellow
row_1_box_2,blue
row_1_box_3,yellow
row_1_box_4,red
row_2_box_1,blue
row_2_box_2,yellow
row_2_box_3,blue
row_2_box_4,blue
row_3_box_1,yellow
row_3_box_2,blue
row_3_box_3,yellow
row_3_box_4,undefined
row_4_box_1,undefined
row_4_box_2,red
row_4_box_3,undefined
row_4_box_4,yellow
date,1487180641874
row_1_box_1,yellow
row_1_box_2,blue
row_1_box_3,yellow
row_1_box_4,red
row_2_box_1,blue
row_2_box_2,yellow
row_2_box_3,blue
row_2_box_4,blue
row_3_box_1,yellow
row_3_box_2,blue
row_3_box_3,yellow
row_3_box_4,undefined
row_4_box_1,undefined
row_4_box_2,red
row_4_box_3,undefined
row_4_box_4,yellow
date,1487180678628
row_1_box_1,red
row_1_box_2,undefined
row_1_box_3,undefined
row_1_box_4,undefined
row_2_box_1,undefined
row_2_box_2,red
row_2_box_3,undefined
row_2_box_4,blue
row_3_box_1,yellow
row_3_box_2,yellow
row_3_box_3,blue
row_3_box_4,yellow
row_4_box_1,undefined
row_4_box_2,blue
row_4_box_3,undefined
row_4_box_4,red
date,1487180751821
row_1_box_1,yellow
row_1_box_2,undefined
row_1_box_3,yellow
row_1_box_4,undefined
row_2_box_1,undefined
row_2_box_2,yellow
row_2_box_3,undefined
row_2_box_4,yellow
row_3_box_1,yellow
row_3_box_2,undefined
row_3_box_3,yellow
row_3_box_4,undefined
row_4_box_1,undefined
row_4_box_2,yellow
row_4_box_3,undefined
row_4_box_4,yellow
date,1487181766603
row_1_box_1,undefined
row_1_box_2,blue
row_1_box_3,undefined
row_1_box_4,undefined
row_2_box_1,blue
row_2_box_2,red
row_2_box_3,blue
row_2_box_4,undefined
row_3_box_1,yellow
row_3_box_2,yellow
row_3_box_3,yellow
row_3_box_4,yellow
row_4_box_1,red
row_4_box_2,blue
row_4_box_3,undefined
row_4_box_4,red
date,1487182717290
row_1_box_1,red
row_1_box_2,red
row_1_box_3,yellow
row_1_box_4,undefined
row_2_box_1,blue
row_2_box_2,yellow
row_2_box_3,blue
row_2_box_4,blue
row_3_box_1,yellow
row_3_box_2,blue
row_3_box_3,blue
row_3_box_4,red
row_4_box_1,undefined
row_4_box_2,undefined
row_4_box_3,undefined
row_4_box_4,red
date,1487187873121
row_1_box_1,red
row_1_box_2,red
row_1_box_3,yellow
row_1_box_4,red
row_2_box_1,yellow
row_2_box_2,blue
row_2_box_3,blue
row_2_box_4,blue
row_3_box_1,blue
row_3_box_2,yellow
row_3_box_3,blue
row_3_box_4,yellow
row_4_box_1,blue
row_4_box_2,blue
row_4_box_3,red
row_4_box_4,red
date,1487266189334
row_1_box_1,red
row_1_box_2,yellow
row_1_box_3,blue
row_1_box_4,blue
row_2_box_1,yellow
row_2_box_2,undefined
row_2_box_3,yellow
row_2_box_4,yellow
row_3_box_1,blue
row_3_box_2,yellow
row_3_box_3,red
row_3_box_4,red
row_4_box_1,yellow
row_4_box_2,undefined
row_4_box_3,yellow
row_4_box_4,undefined
date,1487266249217
row_1_box_1,yellow
row_1_box_2,blue
row_1_box_3,undefined
row_1_box_4,blue
row_2_box_1,blue
row_2_box_2,yellow
row_2_box_3,blue
row_2_box_4,undefined
row_3_box_1,undefined
row_3_box_2,blue
row_3_box_3,yellow
row_3_box_4,blue
row_4_box_1,blue
row_4_box_2,undefined
row_4_box_3,blue
row_4_box_4,yellow
